Step,Forward (ms),Backward (ms),Optimizer (ms),Total (ms),Tokens/s
0,124.59106399910524,174.18068897677585,41.875012044329196,340.6467650202103,12024.185815347424
1,86.05270902626216,157.87901799194515,16.60764601547271,260.53937303368,15721.23227405828
2,84.84055701410398,158.69236597791314,16.553701017983258,260.0866240100004,15748.59920455774
3,84.19299003435299,158.58369396300986,16.65585400769487,259.4325380050577,15788.304857581694
4,84.20042099896818,157.39646600559354,16.505492036230862,258.1023790407926,15869.671621092013
5,85.49069496802986,158.80562202073634,16.709121002350003,261.0054379911162,15693.159619683536
6,83.28192797489464,159.2964640003629,16.6816390119493,259.26003098720685,15798.810115092969
7,84.08290200168267,158.1955209840089,16.74235297832638,259.02077596401796,15813.403325488449
8,81.18075598031282,157.58936997735873,16.568708000704646,255.3388339583762,16041.429877711846
9,84.3026940128766,157.81870996579528,16.54131303075701,258.6627170094289,15835.293340132552
